Strategy,MeanPnL,StdPnL,CVaR_0.05,VaR_0.05,Turnover,Paths
BlackScholesDelta,-0.3354121446609497,0.15453916788101196,-0.7014682292938232,-0.6129967272281647,4.451486506165698,50
HestonDelta,-0.3354121446609497,0.15453916788101196,-0.7014682292938232,-0.6129967272281647,4.451486506165698,50
NaiveHedge,-0.001453407108783722,0.06074065715074539,-0.15923254191875458,-0.12869630195200443,0.5,50
NeuralHedge,-0.011663961224257946,0.13728831708431244,-0.3730722963809967,-0.31492855250835416,0.07263630792498589,50
