Strategy,MeanPnL,MeanPnL_CI_Lower,MeanPnL_CI_Upper,StdPnL,CVaR_5pct,CVaR_CI_Lower,CVaR_CI_Upper,VaR_5pct,Turnover,Paths
BlackScholesDelta,-0.7684047818183899,-0.7787087485194206,-0.7573126226663589,0.29991838335990906,-1.4068048000335693,-1.432765746116638,-1.3793683469295501,-1.2873291552066803,9.793310797878009,3000
HestonDelta,-0.7725555896759033,-0.7830024629831314,-0.7613576456904412,0.30333074927330017,-1.416870355606079,-1.4431470036506653,-1.389089885354042,-1.296982616186142,9.845920579235115,3000
NaiveHedge,-0.00451341038569808,-0.0068691095104441045,-0.0021054162702057516,0.06642860174179077,-0.1897786259651184,-0.20263132601976394,-0.17691606543958188,-0.12824085503816604,0.5,3000
NeuralHedge,-0.014621841721236706,-0.01969222854822874,-0.009881956502795221,0.13759346306324005,-0.4303114712238312,-0.45542008578777315,-0.40448757708072663,-0.30875111371278763,0.07676060129950443,3000
